title,release_year,runtime,imdb_score,type_SHOW,is_high_rated
Mujrim,1989,162,5.4,False,0
An Egyptian Story,1982,129,7.3,False,1
Ek Jaan Hain Hum,1983,151,6.3,False,0
The Quick and the Dead,1995,107,6.5,False,0
Survivor,2000,48,7.4,True,1
Stargate SG-1,1997,44,8.4,True,1
PokÃ©mon,1997,22,7.6,True,1
Forrest Gump,1994,142,8.8,False,1
Happy Gilmore,1996,92,7.0,False,1
One Piece,1999,23,8.8,True,1
Saving Private Ryan,1998,169,8.6,False,1
Cowboy Bebop,1998,25,8.9,True,1
Star Trek: Deep Space Nine,1993,47,8.1,True,1
The Challenge,1998,40,7.8,True,1
Gattaca,1997,106,7.8,False,1
Gilmore Girls,2000,46,8.199999999999998,True,1
Blade,1998,120,7.1,False,1
You've Got Mail,1998,119,6.7,False,0
Starship Troopers,1997,129,7.3,False,1
Neon Genesis Evangelion,1995,24,8.5,True,1
The Magic School Bus,1994,26,7.8,True,1
Donnie Brasco,1997,127,7.7,False,1
Power Rangers,1993,22,6.5,True,0
U.S. Marshals,1998,126,6.5,False,0
Adventures of Sonic the Hedgehog,1993,22,6.2,True,0
Wild Things,1998,108,6.6,False,0
Last Action Hero,1993,130,6.4,False,0
Seven Years in Tibet,1997,136,7.1,False,1
The Devil's Advocate,1997,144,7.5,False,1
A River Runs Through It,1992,123,7.2,False,1
"Girl, Interrupted",1999,127,7.3,False,1
Goosebumps,1995,22,7.6,True,1
Yu-Gi-Oh!,1998,22,7.2,True,1
InuYasha,2000,25,7.9,True,1
Any Given Sunday,1999,162,6.9,False,0
Menace II Society,1993,97,7.5,False,1
Desperado,1995,104,7.1,False,1
The Mask of Zorro,1998,136,6.8,False,0
The Patriot,2000,165,7.2,False,1
Road Trip,2000,93,6.5,False,0
Free Willy,1993,112,6.0,False,0
3 Ninjas Kick Back,1994,93,4.5,False,0
In the Line of Fire,1993,128,7.2,False,1
The Replacements,2000,118,6.6,False,0
Johnny Mnemonic,1995,97,5.6,False,0
Little Women,1994,115,7.3,False,1
Anaconda,1997,89,4.8,False,0
My Girl,1991,103,6.9,False,0
Cliffhanger,1993,112,6.5,False,0
I Know What You Did Last Summer,1997,101,5.7,False,0
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,1991,88,6.0,False,0
Barney & Friends,1992,28,3.8,True,0
Hollow Man,2000,112,5.8,False,0
Godzilla,1998,133,5.4,False,0
Neon Genesis Evangelion: The End of Evangelion,1997,87,8.0,False,1
Spawn,1997,96,5.2,False,0
Dennis the Menace,1993,95,5.6,False,0
The Net,1995,114,5.9,False,0
The Devil's Own,1997,107,6.2,False,0
Croupier,1998,94,7.0,False,1
Teenage Mutant Ninja Turtles III,1993,96,4.7,False,0
The General's Daughter,1999,116,6.4,False,0
The Next Karate Kid,1994,107,4.5,False,0
I Still Know What You Did Last Summer,1998,100,4.7,False,0
Double Team,1997,93,4.7,False,0
Under Suspicion,2000,110,6.5,False,0
Moesha,1996,21,5.7,True,0
"Sister, Sister",1994,22,6.2,True,0
Cardcaptor Sakura,1998,25,8.0,True,1
Geronimo: An American Legend,1993,115,6.5,False,0
The Mirror Has Two Faces,1996,126,6.6,False,0
Girlfriends,2000,21,7.2,True,1
Knight Rider 2000,1991,91,4.5,False,0
The Last Days,1998,87,7.9,False,1
The Parkers,1999,19,6.8,True,0
Heavy,1995,105,6.8,False,0
Bill Hicks: Revelations,1993,74,8.5,False,1
Sankofa,1993,124,7.0,False,1
Dale's Supermarket Sweep,1993,21,7.1,True,1
Jerry Seinfeld: I'm Telling You for the Last Time,1998,75,7.9,False,1
Children of God,1994,63,6.4,False,0
Wild Tango,1993,124,6.7,False,0
Kuch Kuch Hota Hai,1998,185,7.6,False,1
Oggy and the Cockroaches,1999,9,7.4,True,1
H,1998,25,7.4,True,1
Herod's Law,1999,120,7.8,False,1
Tim Allen: Rewires America,1991,30,5.9,False,0
Heartbreak High,1994,47,7.8,True,1
Dil Se..,1998,163,7.5,False,1
Aashik Aawara,1993,153,4.7,False,0
Destiny,1997,136,7.1,False,1
Oh Darling! Yeh Hai India!,1995,153,4.0,False,0
A Triumph of the Heart: The Ricky Bell Story,1991,100,7.2,False,1
Bombay,1995,141,8.1,False,1
West Beirut,1998,105,7.6,False,1
Muthu,1995,165,7.6,False,1
Qila,1998,160,4.8,False,0
Ram Jaane,1995,172,5.4,False,0
Chamatkar,1992,171,6.5,False,0
Soldier,1998,156,6.2,False,0
Okupas,2000,40,9.0,True,1
Hum Saath Saath Hain,1999,177,6.2,False,0
Kabhi Haan Kabhi Naa,1994,158,7.6,False,1
Nightmare in Columbia County,1991,100,5.5,False,0
Phir Bhi Dil Hai Hindustani,2000,160,6.1,False,0
Jeans,1998,175,6.4,False,0
Chaahat,1996,155,5.5,False,0
Hum Aapke Hain Koun..!,1994,206,7.5,False,1
Maya Memsaab,1993,126,5.4,False,0
Out of Life,1991,97,6.9,False,0
Duplicate,1998,165,5.5,False,0
Govindha Govindha,1993,145,6.6,False,0
Damini,1993,180,7.8,False,1
English Babu Desi Mem,1996,172,4.5,False,0
Before the Flying Circus,2000,55,7.3,False,1
Sam Kinison: Live in Vegas,1991,72,6.6,False,0
Anjaam,1994,146,6.6,False,0
Mann,1999,174,6.1,False,0
Monty Python: Live at Aspen,1998,58,7.8,False,1
Sinbad: Afros and Bellbottoms,1993,59,7.8,False,1
The Other,1999,106,5.9,False,0
Sinbad: Son of a Preacher Man,1996,56,6.7,False,0
Children of Shatila,1999,50,8.199999999999998,False,1
Gumrah,1993,149,6.1,False,0
The Emigrant,1994,129,6.5,False,0
Yodha,1991,142,4.5,False,0
Avvai Shanmugi,1996,160,7.9,False,1
Minsara Kanavu,1997,145,6.7,False,0
Chronicle of a Disappearance,1996,88,6.9,False,0
Yaar Gaddar,1994,147,3.6,False,0
Sinbad: Nothin' but the Funk,1998,55,6.2,False,0
Dushmani,1995,156,5.0,False,0
Fiza,2000,170,6.0,False,0
Hello Brother,1999,131,4.6,False,0
Shikari,1991,162,5.9,False,0
Breaking Bad,2008,48,9.5,True,1
The Walking Dead,2010,46,8.199999999999998,True,1
The Staircase,2004,49,7.8,True,1
Downton Abbey,2010,58,8.699999999999998,True,1
Grey's Anatomy,2005,49,7.6,True,1
The Great British Baking Show,2010,57,8.6,True,1
Criminal Minds,2005,44,8.1,True,1
NCIS,2003,44,7.8,True,1
Community,2009,23,8.5,True,1
Heartland,2007,44,8.4,True,1
Supernatural,2005,45,8.5,True,1
Forgetting Sarah Marshall,2008,111,7.1,False,1
War of the Worlds,2005,117,6.5,False,0
Arrested Development,2003,28,8.699999999999998,True,1
The IT Crowd,2006,25,8.5,True,1
30 Rock,2006,25,8.3,True,1
Avatar: The Last Airbender,2005,24,9.3,True,1
Inception,2010,148,8.8,False,1
The Other Guys,2010,107,6.6,False,0
How to Train Your Dragon,2010,98,8.1,False,1
Friday Night Lights,2006,43,8.699999999999998,True,1
Casino Royale,2006,139,8.0,False,1
Michael Clayton,2007,120,7.2,False,1
My Little Pony: Friendship Is Magic,2010,22,7.6,True,1
The Fairly OddParents,2001,24,7.2,True,1
Jackass: The Movie,2002,88,6.6,False,0
Sonic X,2003,21,6.1,True,0
DEATH NOTE,2006,24,9.0,True,1
Zoolander,2001,90,6.5,False,0
The Vampire Diaries,2009,42,7.7,True,1
Charlie and the Chocolate Factory,2005,106,6.6,False,0
Cleaner,2007,88,6.1,False,0
Harold & Kumar Go to White Castle,2004,88,7.0,False,1
The Social Network,2010,121,7.8,False,1
Road to Perdition,2002,117,7.7,False,1
Naruto,2002,23,8.4,True,1
Blow,2001,124,7.5,False,1
Shooter,2007,124,7.2,False,1
Big Fish,2003,125,8.0,False,1
The Bourne Ultimatum,2007,115,8.0,False,1
Public Enemies,2009,143,7.0,False,1
America's Next Top Model,2003,44,5.6,True,0
Sherlock Holmes,2009,129,7.6,False,1
Love Actually,2003,139,7.6,False,1
Closer,2004,94,7.2,False,1
Chappelle's Show,2003,21,8.8,True,1
Something's Gotta Give,2003,128,6.7,False,0
Grown Ups,2010,102,5.9,False,0
The Blind Side,2009,129,7.6,False,1
Quantum of Solace,2008,106,6.6,False,0
The Ring,2002,111,7.1,False,1
Trailer Park Boys,2001,25,8.6,True,1
Into the Wild,2007,140,8.1,False,1
True Grit,2010,110,7.6,False,1
Rambo,2008,92,7.0,False,1
Stardust,2007,122,7.6,False,1
Borgen,2010,58,8.5,True,1
The Last Samurai,2003,154,7.8,False,1
iCarly,2007,26,6.7,True,0
Victorious,2010,25,6.9,True,0
The Book of Eli,2010,118,6.8,False,0
Identity,2003,90,7.3,False,1
Merlin,2008,44,7.9,True,1
Shrek Forever After,2010,93,6.3,False,0
Hairspray,2007,117,6.7,False,0
Corpse Bride,2005,77,7.3,False,1
Let Me In,2010,116,7.1,False,1
Monster,2003,110,7.3,False,1
Without a Paddle,2004,95,5.8,False,0
Once Upon a Time in Mexico,2003,102,6.3,False,0
Cloudy with a Chance of Meatballs,2009,90,6.9,False,0
Offspring,2010,44,8.3,True,1
Blade II,2002,117,6.7,False,0
Chloe,2009,99,6.3,False,0
Blood Diamond,2006,143,8.0,False,1
The Lake House,2006,105,6.8,False,0
Terminator 3: Rise of the Machines,2003,109,6.3,False,0
Beerfest,2006,110,6.2,False,0
Heist,2001,107,6.5,False,0
Catch and Release,2006,111,5.9,False,0
Just Like Heaven,2005,95,6.7,False,0
Gurren Lagann,2007,24,8.3,True,1
Four Brothers,2005,109,6.8,False,0
John Q,2002,116,7.0,False,1
Not Another Teen Movie,2001,89,5.7,False,0
21,2008,123,6.8,False,0
Code Geass: Lelouch of the Rebellion,2006,24,8.699999999999998,True,1
Terminator Salvation,2009,110,6.5,False,0
Deck the Halls,2006,93,5.0,False,0
The Girl Next Door,2007,91,6.5,False,0
The Cat in the Hat,2003,81,4.0,False,0
Final Destination 3,2006,93,5.8,False,0
Thir13en Ghosts,2001,91,5.6,False,0
The One,2001,87,5.9,False,0
Happy Feet,2006,108,6.4,False,0
Ip Man,2008,108,8.0,False,1
Coach Carter,2005,130,7.3,False,1
Blade: Trinity,2004,106,5.8,False,0
Monster-in-Law,2005,101,5.5,False,0
Halloween,2007,109,6.0,False,0
How Do You Know,2010,121,5.4,False,0
The Sweetest Thing,2002,84,5.1,False,0
The Final Destination,2009,82,5.1,False,0
The Other Boleyn Girl,2008,115,6.7,False,0
Friday the 13th,2009,97,5.5,False,0
The Bucket List,2007,97,7.4,False,1
Freddy vs. Jason,2003,97,5.7,False,0
Transformers: Prime,2010,22,7.9,True,1
Memoirs of a Geisha,2005,145,7.3,False,1
A Nightmare on Elm Street,2010,95,5.2,False,0
Body of Lies,2008,128,7.1,False,1
A Cinderella Story,2004,95,5.9,False,0
The Mole,2001,52,7.6,True,1
Osmosis Jones,2001,95,6.3,False,0
Scary Movie 4,2006,83,5.1,False,0
The Texas Chainsaw Massacre,2003,98,6.2,False,0
Fun with Dick and Jane,2005,90,6.1,False,0
TMNT,2007,87,6.2,False,0
Due Date,2010,95,6.5,False,0
Cop Out,2010,107,5.5,False,0
The 4400,2004,44,7.3,True,1
Still Game,2002,29,8.9,True,1
3 Idiots,2009,170,8.4,False,1
Midnight Diner,2009,27,8.6,True,1
H2O: Just Add Water,2006,25,7.2,True,1
Black Butler,2008,25,8.3,True,1
Octonauts,2010,15,7.6,True,1
New York Minute,2004,87,4.8,False,0
Strawberry Shortcake,2003,23,7.0,True,1
Total Drama Island,2007,23,7.4,True,1
Dreamer: Inspired By a True Story,2005,106,6.8,False,0
Monster House,2006,91,6.6,False,0
Starsky & Hutch,2004,101,6.1,False,0
Tears of the Sun,2003,121,6.6,False,0
Boys Over Flowers,2009,64,7.9,True,1
Winx Club,2004,23,6.2,True,0
The Cave,2005,97,5.1,False,0
Big Time Rush,2009,25,6.3,True,0
The Texas Chainsaw Massacre: The Beginning,2006,91,5.8,False,0
I Am Sam,2001,132,7.6,False,1
The Spiderwick Chronicles,2008,96,6.5,False,0
Rumor Has It...,2005,97,5.5,False,0
Dead Set,2008,141,7.6,True,1
Toradora!,2008,30,8.0,True,1
I Now Pronounce You Chuck & Larry,2007,115,5.9,False,0
World Trade Center,2006,129,6.0,False,0
Premonition,2007,96,5.9,False,0
Shaun the Sheep,2007,7,8.0,True,1
Eagle Eye,2008,118,6.6,False,0
Lagaan: Once Upon a Time in India,2001,224,8.1,False,1
The Men Who Stare at Goats,2009,94,6.2,False,0
Scare Tactics,2003,22,6.7,True,0
Friends with Money,2006,88,5.8,False,0
Legend of the Guardians: The Owls of Ga'Hoole,2010,100,6.9,False,0
Kath & Kim,2002,24,8.3,True,1
Good Luck Chuck,2007,101,5.6,False,0
Pocoyo,2005,11,3.9,True,0
Louis C.K.: Hilarious,2010,84,8.4,False,1
Death at a Funeral,2010,92,5.6,False,0
Gifted Hands: The Ben Carson Story,2009,86,7.6,False,1
The Game,2006,22,6.6,True,0
Angel Beats!,2010,26,7.7,True,1
Blood and Bone,2009,93,6.7,False,0
Ip Man 2,2010,108,7.5,False,1
Masha and the Bear,2009,6,7.6,True,1
Like Stars on Earth,2007,165,8.3,False,1
Monty Python: Almost the Truth (The Lawyer's Cut),2009,55,8.1,True,1
The Legend of Bruce Lee,2008,45,7.0,True,1
Ouran High School Host Club,2006,23,8.199999999999998,True,1
Felon,2008,103,7.4,False,1
The Ultimatum,2009,44,5.4,True,0
Mobile Suit Gundam Unicorn,2010,35,7.8,True,1
Stuart Little 2,2002,78,5.5,False,0
Johnny Test,2005,18,5.1,True,0
Code Lyoko,2003,24,7.3,True,1
Did You Hear About the Morgans?,2009,103,4.9,False,0
Iris,2009,61,7.8,True,1
DreamWorks Shrek's Swamp Stories,2010,24,6.5,True,0
Ben & Holly's Little Kingdom,2009,14,7.5,True,1
The Garfield Show,2009,17,5.3,True,0
Chaos,2005,106,6.4,False,0
Wakfu,2008,22,8.1,True,1
Katt Williams: The Pimp Chronicles Pt. 1,2006,46,7.6,False,1
Initial D,2005,107,6.3,False,0
Comedian,2002,82,6.9,False,0
Delta Farce,2007,90,3.6,False,0
One Piece: Strong World,2009,114,7.5,False,1
Christmas with the Kranks,2004,99,5.4,False,0
Dinosaur King,2007,21,5.6,True,0
Love Happens,2009,109,5.6,False,0
Vampire Knight,2008,25,7.3,True,1
Den-noh Coil,2007,25,7.9,True,1
Zig and Sharko,2010,9,6.8,True,0
Even the Rain,2010,104,7.4,False,1
Kabhi Khushi Kabhie Gham,2001,210,7.4,False,1
Naruto Shippuden the Movie,2007,94,6.7,False,0
Trailer Park Boys: The Movie,2006,95,7.1,False,1
Jeff Dunham: Arguing with Myself,2006,76,8.0,False,1
From Within,2008,89,5.6,False,0
Jodhaa Akbar,2008,213,7.5,False,1
And Then Came Lola,2009,71,3.9,False,0
One on One,2001,20,7.0,True,1
Om Shanti Om,2007,162,6.7,False,0
Jab We Met,2007,138,7.9,False,1
The Cartel,2008,44,8.1,True,1
Te quiero,2001,85,4.8,False,0
Bon Cop Bad Cop,2006,116,6.5,False,0
Naruto: Ninja Clash in the Land of Snow,2004,82,6.6,False,0
The Mafia Dolls,2009,43,6.6,True,0
Horrid Henry,2006,12,6.3,True,0
I Will Follow,2010,76,5.9,False,0
Alpha and Omega,2010,88,5.1,False,0
One Piece: The Desert Princess and the Pirates: Adventure in Alabasta,2007,90,6.9,False,0
Bo on the Go!,2007,22,4.1,True,0
Waist Deep,2006,97,5.8,False,0
Naruto: Guardians of the Crescent Moon Kingdom,2006,95,6.4,False,0
First Sunday,2008,96,4.5,False,0
Einsatzgruppen: The Nazi Death Squads,2009,44,7.6,True,1
This Is the Life,2008,97,6.3,False,0
My Suicide,2009,107,7.0,False,1
Kyaa Kool Hai Hum,2005,172,6.1,False,0
Kung Fu Panda Awesome Secrets,2008,0,7.2,True,1
Divine Intervention,2002,92,6.6,False,0
Accident,2009,89,6.6,False,0
Naruto: Legend of the Stone of Gelel,2005,96,6.4,False,0
Jim Gaffigan: Beyond the Pale,2006,72,7.9,False,1
Dreamworks Happy Holidays from Madagascar,2005,0,6.5,True,0
Billu,2009,137,6.3,False,0
Half & Half,2002,21,7.0,True,1
Timmy Time,2009,14,6.9,True,0
"Cairo 6,7,8",2010,100,7.4,False,1
Dil Chahta Hai,2001,183,8.1,False,1
Trailer Park Boys: Countdown to Liquor Day,2009,101,7.3,False,1
Bleach the Movie: Hell Verse,2010,94,7.4,False,1
Whisky,2004,99,7.1,False,1
EMI,2008,128,4.4,False,0
Vientos de agua,2006,72,8.699999999999998,True,1
Naruto Shippuden the Movie: The Lost Tower,2010,85,6.9,False,0
Naruto Shippuden the Movie: Bonds,2008,90,6.8,False,0
Naruto Shippuden the Movie: The Will of Fire,2009,95,7.0,False,1
Linewatch,2008,90,5.4,False,0
The Boy Who Cried Werewolf,2010,97,5.9,False,0
Dostana,2008,145,6.5,False,0
Whitney Cummings: Money Shot,2010,48,6.2,False,0
Don,2006,178,7.1,False,1
Rock On!!,2008,144,7.7,False,1
Eternal Summer,2006,105,7.0,False,1
Mike Birbiglia: What I Should Have Said Was Nothing,2008,60,7.6,False,1
"One Piece: Episode of Chopper Plus: Bloom in the Winter, Miracle Cherry Blossom",2008,95,7.0,False,1
Welcome,2007,160,6.9,False,0
Just Another Love Story,2007,100,7.2,False,1
Arahan,2004,114,6.6,False,0
Phir Hera Pheri,2006,155,7.1,False,1
Bleach the Movie: Fade to Black,2008,94,7.2,False,1
Rang De Basanti,2006,157,8.1,False,1
Oscar's Oasis,2010,9,7.4,True,1
Swades,2004,189,8.1,False,1
Kaal,2005,127,4.7,False,0
Sorry to Disturb,2008,116,8.0,False,1
2 Alone in Paris,2008,94,5.4,False,0
Delhi-6,2009,141,6.1,False,0
Kal Ho Naa Ho,2003,186,7.9,False,1
Sivaji: The Boss,2007,189,7.5,False,1
Ishqiya,2010,115,7.3,False,1
Trotro,2004,3,6.2,True,0
Guzaarish,2010,126,7.4,False,1
A Lion in the House,2006,225,8.699999999999998,False,1
Oye Lucky! Lucky Oye!,2008,126,7.7,False,1
Love in a Puff,2010,104,7.1,False,1
Kabhi Alvida Naa Kehna,2006,193,6.0,False,0
Black Friday,2004,143,8.4,False,1
Kevin James: Sweat the Small Stuff,2001,42,7.4,False,1
Connected,2008,110,6.6,False,0
Vivah,2006,175,6.6,False,0
Golmaal Returns,2008,135,5.1,False,0
Jim Gaffigan: King Baby,2009,72,7.7,False,1
The Trailer Park Boys Xmas Special,2004,57,8.0,False,1
Bluffmaster!,2005,137,6.6,False,0
Inuyasha the Movie 4: Fire on the Mystic Island,2004,88,7.2,False,1
My FÃ¼hrer,2007,89,5.5,False,0
Vizontele,2001,110,8.0,False,1
Tayo the Little Bus,2010,11,5.2,True,0
Autumn's Concerto,2009,58,7.9,True,1
Sir! No Sir!,2005,85,7.6,False,1
DreamWorks Spooky Stories,2009,26,6.2,True,0
Inuyasha the Movie: Affections Touching Across Time,2001,99,7.2,False,1
Once Upon a Time in Mumbaai,2010,132,7.4,False,1
Guru,2007,166,7.7,False,1
Main Hoon Na,2004,179,7.0,False,1
Romantik Komedi,2010,110,5.3,False,0
Jeff Dunham's Very Special Christmas Special,2008,85,7.4,False,1
Paheli,2005,141,6.3,False,0
Honeymoon Travels Pvt. Ltd.,2007,118,6.1,False,0
Behind Enemy Lines,2001,49,7.2,True,1
Inuyasha the Movie 3: Swords of an Honorable Ruler,2003,99,7.6,False,1
Fated to Love You,2008,67,7.4,True,1
Kaminey,2009,135,7.4,False,1
Nuevo Rico Nuevo Pobre,2007,44,7.2,True,1
Kevin Hart: I'm a Grown Little Man,2009,72,7.5,False,1
G.O.R.A.,2004,127,8.0,False,1
Jaane Tu... Ya Jaane Na,2008,155,7.4,False,1
Mukhsin,2006,95,7.3,False,1
Pecados capitales,2002,43,8.5,True,1
Apaharan,2005,173,7.4,False,1
"LSD: Love, Sex aur Dhokha",2010,108,7.2,False,1
Chhota Bheem,2008,22,4.1,True,0
Pedro El Escamoso,2001,0,7.5,True,1
Chup Chup Ke,2006,165,6.9,False,0
Manorama Six Feet Under,2007,137,7.6,False,1
Sergio,2009,94,7.4,False,1
Luck by Chance,2009,155,7.1,False,1
Karthik Calling Karthik,2010,135,7.1,False,1
Monty Python's Personal Best,2006,56,7.9,True,1
Ajab Prem Ki Ghazab Kahani,2009,150,6.3,False,0
Dhan Dhana Dhan Goal,2007,167,5.0,False,0
Salt of This Sea,2008,109,6.8,False,0
Yuva,2004,161,7.3,False,1
Fuga,2006,110,6.3,False,0
Namastey London,2007,131,7.1,False,1
Fashion,2008,167,6.9,False,0
Peepli Live,2010,104,7.4,False,1
Lakshya,2004,186,7.8,False,1
Trailer Park Boys: Say Goodnight to the Bad Guys,2008,60,7.8,False,1
Pomegranates and Myrrh,2009,95,6.3,False,0
Tony Manero,2008,97,6.8,False,0
Do Dooni Chaar,2010,146,7.5,False,1
Kismat Konnection,2008,153,5.3,False,0
Wake Up Sid,2009,138,7.6,False,1
Life in a Metro,2007,124,7.4,False,1
El cartel 2 - La guerra total,2010,44,6.8,True,0
Awara Paagal Deewana,2002,169,6.2,False,0
The Figurine (Araromire),2009,122,4.4,False,0
The Unjust,2010,119,6.6,False,0
Kurbaan,2009,161,5.7,False,0
Canâ€™t Complain,2007,113,7.5,False,1
Inuyasha the Movie 2: The Castle Beyond the Looking Glass,2002,100,7.3,False,1
Taxi No. 9 2 11,2006,116,7.2,False,1
Anbe Sivam,2003,160,8.699999999999998,False,1
Gangaajal,2003,157,7.8,False,1
Chalte Chalte,2003,175,6.5,False,0
Mumbai Meri Jaan,2008,119,7.7,False,1
Aamir,2008,99,7.6,False,1
Frontiers of Dreams and Fears,2001,56,8.3,False,1
Ishq Vishk,2003,145,6.1,False,0
The Legend of Bhagat Singh,2002,155,8.1,False,1
Under the Bombs,2007,98,7.0,False,1
Race,2008,161,6.9,False,0
Udaan,2010,138,8.1,False,1
Laugh Out Loud,2003,60,7.0,False,1
We Are Family,2010,115,5.6,False,0
The Beast Stalker,2008,109,6.8,False,0
Raajneeti,2010,167,7.1,False,1
Edge of the Universe,2002,49,7.2,True,1
Old Thieves: The Legend of Artegio,2007,97,8.0,False,1
Kannathil Muthamittal,2002,137,8.4,False,1
Well Done Abba,2010,144,7.2,False,1
Palermo Hollywood,2004,113,5.2,False,0
Dev.D,2009,144,7.9,False,1
Twins Mission,2007,103,5.2,False,0
What's Up?,2006,95,2.9,False,0
Aagey Se Right,2009,117,5.2,False,0
Mighty Raju,2010,20,4.2,True,0
Krishna Cottage,2004,124,5.1,False,0
The Fierce Wife,2010,59,6.8,True,0
Madness in the Desert,2004,141,8.4,False,1
I Hate Luv Storys,2010,129,5.6,False,0
C Kkompany,2008,130,5.5,False,0
Welcome to Sajjanpur,2008,134,6.9,False,0
I Am Kalam,2010,88,8.0,False,1
Kyo Kii... Main Jhuth Nahin Bolta,2001,149,5.3,False,0
The Kite,2003,80,6.4,False,0
Kucch To Hai,2003,142,4.3,False,0
The Blue Umbrella,2005,90,7.3,False,1
Break Ke Baad,2010,120,5.2,False,0
Main Aurr Mrs Khanna,2009,115,3.5,False,0
Frank & Cindy,2007,73,7.0,False,1
Tum Milo Toh Sahi,2010,127,5.6,False,0
Ezra,2007,105,6.4,False,0
Chance Pe Dance,2010,121,4.8,False,0
Gina Yashere: Skinny B*tch,2008,57,6.5,False,0
Agyaat,2009,98,2.9,False,0
Falafel,2006,80,6.7,False,0
